iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
36,1,1,117,59,58,6.164,5.79,6,5
36,2,0,50,25,25,2.36,2.238,8,8
36,3,-1,166,83,83,8.045,8.075,3,5
36,4,0,104,52,52,4.374,4.184,7,7
36,5,1,205,103,102,10.276,9.738,6,2
36,6,1,83,42,41,3.802,3.504,8,6
36,7,0,98,49,49,4.885,4.756,6,6
36,8,-1,188,94,94,8.739,8.587,3,4
36,9,1,142,71,71,6.714,6.582,6,5
36,10,-1,134,67,67,6.225,6.256,5,6
36,11,-1,152,76,76,7.258,6.95,2,4
36,12,1,115,58,57,5.619,5.444,7,5
36,13,-1,168,84,84,8.356,7.85,3,6
36,14,1,67,34,33,3.319,3.176,8,6
36,15,0,50,25,25,2.454,2.319,8,8
36,16,1,179,90,89,8.615,8.133,6,3
36,17,0,50,25,25,2.259,2.123,8,8
36,18,0,50,25,25,2.792,2.651,8,8
36,19,0,50,25,25,2.349,2.048,8,8
36,20,0,50,25,25,2.232,2.136,8,8
37,1,0,50,25,25,2.114,1.986,8,8
37,2,0,50,25,25,2.643,2.46,8,8
37,3,-1,137,69,68,6.194,6.048,4,5
37,4,0,50,25,25,2.791,2.706,8,8
37,5,1,135,68,67,6.564,6.391,8,5
37,6,0,258,129,129,11.813,11.129,2,2
37,7,0,50,25,25,2.866,2.654,8,8
37,8,1,69,35,34,2.909,3.009,7,6
37,9,0,50,25,25,2.741,2.652,8,8
37,10,0,107,54,53,5.045,4.597,6,6
37,11,-1,198,99,99,9.532,10.062,1,6
37,12,1,217,109,108,9.935,9.89,2,1
37,13,1,57,29,28,2.874,2.968,8,7
37,14,-1,102,51,51,4.613,4.508,4,8
37,15,1,86,43,43,4.256,4.5,6,5
37,16,0,50,25,25,2.125,1.973,8,8
37,17,0,50,25,25,2.448,2.47,8,8
37,18,1,143,72,71,6.954,6.871,7,5
37,19,0,50,25,25,2.602,2.412,8,8
37,20,-1,140,70,70,6.962,7.048,2,4
38,1,0,79,40,39,4.17,4.119,6,6
38,2,1,109,55,54,5.107,5.14,7,5
38,3,1,151,76,75,7.637,7.074,5,4
38,4,0,50,25,25,2.242,2.166,8,8
38,5,1,171,86,85,8.641,8.163,7,5
38,6,0,50,25,25,2.491,2.444,8,8
38,7,-1,74,37,37,3.827,3.694,7,8
38,8,-1,186,93,93,8.868,8.987,0,6
38,9,1,105,53,52,5.711,5.281,8,5
38,10,-1,138,69,69,6.452,6.555,0,7
38,11,1,75,38,37,3.839,4.029,8,7
38,12,0,50,25,25,2.318,2.199,8,8
38,13,-1,102,51,51,5.064,5.377,4,7
38,14,0,106,53,53,4.677,4.453,7,7
38,15,0,90,45,45,4.682,4.768,7,7
38,16,0,81,41,40,4.019,3.819,7,7
38,17,1,327,164,163,16.138,15.066,2,1
38,18,-1,137,69,68,7.005,6.519,6,7
38,19,0,63,32,31,2.617,2.626,7,7
38,20,-1,131,66,65,6.541,6.308,6,7
39,1,0,97,49,48,4.857,4.598,7,7
39,2,0,50,25,25,2.658,2.548,8,8
39,3,0,65,33,32,3.305,2.905,7,7
39,4,-1,54,27,27,2.449,2.329,7,8
39,5,0,50,25,25,2.875,2.819,8,8
39,6,1,79,40,39,3.777,3.357,8,6
39,7,0,50,25,25,2.921,2.88,8,8
39,8,1,187,94,93,8.927,8.789,8,2
39,9,0,84,42,42,4.414,3.994,7,7
39,10,0,50,25,25,2.439,2.388,8,8
39,11,-1,143,72,71,6.858,6.857,5,7
39,12,1,219,110,109,10.262,9.887,5,2
39,13,0,88,44,44,4.458,4.395,7,7
39,14,1,81,41,40,3.934,4.124,8,6
39,15,1,115,58,57,5.248,5.177,8,6
39,16,0,50,25,25,2.981,2.725,8,8
39,17,0,50,25,25,2.09,2.048,8,8
39,18,1,161,81,80,7.751,7.406,7,5
39,19,1,61,31,30,3.094,3.0,8,7
39,20,1,93,47,46,4.222,3.981,7,6
40,1,1,67,34,33,3.065,3.251,8,7
40,2,1,94,47,47,4.749,4.512,7,6
40,3,-1,72,36,36,3.495,3.136,7,8
40,4,0,50,25,25,2.817,2.72,8,8
40,5,-1,186,93,93,8.696,8.721,1,8
40,6,-1,156,78,78,7.227,7.429,2,4
40,7,1,137,69,68,6.715,6.522,6,4
40,8,0,50,25,25,2.111,2.335,8,8
40,9,-1,106,53,53,5.185,5.329,4,7
40,10,1,153,77,76,7.239,7.14,6,3
40,11,0,50,25,25,2.164,2.058,8,8
40,12,0,50,25,25,3.024,2.64,8,8
40,13,1,220,110,110,9.898,9.803,4,2
40,14,0,50,25,25,2.482,2.456,8,8
40,15,1,59,30,29,2.78,2.678,8,6
40,16,0,50,25,25,2.354,2.084,8,8
40,17,1,117,59,58,5.759,5.569,7,5
40,18,-1,120,60,60,5.801,5.926,4,6
40,19,0,50,25,25,2.094,2.111,8,8
40,20,-1,214,107,107,10.418,10.508,1,5
